"pic","word","condition","rt","accuracy","participant"
"sock","knife","unrelated_cat",455.9864,1,2
"mountain","lake","category",524.8299,1,2
"chair","tablet","mediated",966.8254,1,2
"star","moon","category",649.5465,1,2
"hammer","drip","mediated",581.7007,1,2
"drill","horse","unrelated_cat",656.5306,1,2
"lemon","whistle","unrelated_cat",537.8005,1,2
"chair","table","category",773.2653,1,2
"fork","coat","unrelated_cat",538.7982,1,2
"moon","star","category",737.3469,1,2
"drill","hamper","mediated",490.907,1,2
"knife","camera","unrelated_med",466.9615,1,2
"chair","moon","unrelated_cat",716.3946,1,2
"lake","chair","unrelated_cat",739.3424,1,2
"moon","stalk","mediated",611.6327,1,2
"flute","whiskey","mediated",744.3311,1,2
"couch","bed","category",870.0454,1,2
"pig","sheet","mediated",545.7823,1,2
"chair","ham","unrelated_med",476.9388,1,2
"knife","camel","unrelated_cat",435.034,1,2
"hand","carriage","unrelated_med",461.9728,1,2
"couch","bell","mediated",717.3923,1,2
"horse","ship","unrelated_cat",548.7755,1,2
"ship","drum","unrelated_cat",597.6644,1,2
"bed","soap","unrelated_med",635.5782,1,2
"plane","hat","unrelated_cat",562.7438,1,2
"coat","ham","mediated",512.8571,1,2
"beans","carrot","category",519.8413,1,2
"ship","plane","category",493.9002,1,2
"table","star","unrelated_cat",629.5918,1,2
"plane","count","unrelated_med",598.6621,1,2
"mouth","hand","category",475.941,1,2
"hammer","pig","unrelated_cat",740.3401,1,2
"pear","lemming","mediated",567.7324,1,2
"tie","hammer","unrelated_cat",615.6236,1,2
"ear","pearl","unrelated_med",509.8639,1,2
"drum","harp","category",630.5896,1,2
"harp","lace","unrelated_med",521.8367,1,2
"sock","tie","category",513.8549,1,2
"tie","soap","mediated",479.932,1,2
"moon","table","unrelated_cat",505.873,1,2
"truck","mouth","unrelated_cat",563.7415,1,2
"drill","hammer","category",495.8957,0,2
"hat","coal","mediated",540.7937,1,2
"pear","lemon","category",634.5805,1,2
"drum","pear","unrelated_cat",523.8322,1,2
"camel","legend","unrelated_med",965.8277,1,2
"knife","fork","category",1479.6599,1,2
"hat","drug","unrelated_med",526.8254,1,2
"sheep","car","unrelated_cat",473.9456,1,2
"truck","card","mediated",490.907,1,2
"mouth","tie","unrelated_cat",467.9592,1,2
"pig","mound","unrelated_med",497.8912,1,2
"hammer","drill","category",592.6757,1,2
"lemon","pearl","mediated",543.7868,1,2
"bed","mountain","unrelated_cat",533.8095,1,2
"carrot","beans","category",593.6735,1,2
"hat","coat","category",782.2449,1,2
"lake","card","unrelated_med",933.9002,1,2
"truck","car","category",579.7052,1,2
"bed","couch","category",502.8798,1,2
